Gene	FDR
ENSG00000284798	0.007456614176582
ENSG00000154319	0.007456614176582
ENSG00000123689	0.000104578959263
ENSG00000137872	7.71E-05
ENSG00000153879	0.001106076035805
ENSG00000070495	9.44E-05
ENSG00000175315	0.003717557600132
ENSG00000106799	0.002361623210196
ENSG00000138386	0.000516526194647
ENSG00000167460	0.001520977988185
ENSG00000175155	0.000334975947037
ENSG00000167508	0.002539478247133
ENSG00000118985	0.000123498497541
ENSG00000283847	0.013334006778087
ENSG00000105856	0.013334006778087
ENSG00000173575	0.001174904077428
ENSG00000276709	0.005145085418907
ENSG00000275498	0.005145085418907
ENSG00000179889	0.005145085418907
ENSG00000058668	2.91E-05
ENSG00000136068	6.18E-05
ENSG00000196267	0.001332842058273
ENSG00000128590	0.001215548109999
ENSG00000138131	0.000284618093488
ENSG00000180376	0.00709393400335
ENSG00000057294	0.001310973331358
ENSG00000130635	0.000621504024936
ENSG00000107819	0.000162022289761
ENSG00000058668	0.00159328119468
ENSG00000153234	0.004611511660282
ENSG00000205189	0.012829972513349
ENSG00000186951	8.39E-05
ENSG00000119787	0.010351327256556
ENSG00000204524	0.000859291448483
ENSG00000163697	0.000610180369035
ENSG00000225553	0.001056385787448
ENSG00000239756	0.001056385787448
ENSG00000112511	0.001056385787448
ENSG00000175161	0.015623161893693
ENSG00000033867	0.001517372541039
ENSG00000198417	0.000324537483116
ENSG00000114857	0.017975118002588
ENSG00000151229	0.003084081372798
ENSG00000185043	1.37E-05
ENSG00000184743	0.000187442960359
ENSG00000134769	0.019286118096301
ENSG00000026559	0.00034741121369
ENSG00000122641	0.000544425655028
ENSG00000100196	0.000105294729741
ENSG00000091164	0.011873915277322
ENSG00000145819	0.000209705971733
ENSG00000133997	0.029927198304766
ENSG00000132561	4.46E-05
ENSG00000101782	3.63E-05
ENSG00000131389	0.000393677010329
ENSG00000214274	9.27E-05
ENSG00000118495	0.000218735407908
ENSG00000116514	9.3E-05
ENSG00000186951	0.027281962652531
ENSG00000142867	0.000413031463881
ENSG00000108433	0.000369047384936
ENSG00000127951	0.000315000885001
ENSG00000141458	0.019972251182095
ENSG00000257594	0.003967951006266
ENSG00000090339	0.002165635042088
ENSG00000178104	0.002682797683603
ENSG00000121068	0.000255518867905
ENSG00000130733	0.000151258181427
ENSG00000205358	0.000361977048019
ENSG00000021355	0.000209575629727
ENSG00000158292	0.000195505216907
ENSG00000154678	0.000614229343142
ENSG00000070495	5.97E-05
ENSG00000064225	9.3E-05
ENSG00000120910	9.52E-05
ENSG00000067082	0.00013769288779
ENSG00000186951	0.000330315947878
ENSG00000164683	2.79E-05
ENSG00000135046	0.039174029868491
ENSG00000113712	0.013080245725026
ENSG00000243414	0.000333375812719
ENSG00000117616	3.18E-05
ENSG00000123836	0.003880157613851
ENSG00000099331	2.03E-05
ENSG00000261852	0.020473506856924
ENSG00000212725	0.020473506856924
ENSG00000159592	0.023077905961972
ENSG00000128590	0.00018659749549
ENSG00000069966	0.006899827768544
ENSG00000074695	0.000457005711279
ENSG00000101199	0.000102321771002
ENSG00000145390	0.000593919904108
ENSG00000118804	6.9E-05
ENSG00000197956	0.000286663885944
ENSG00000183696	0.001841157244305
ENSG00000167754	0.008566127640423
ENSG00000139132	0.048711355712585
ENSG00000280962	0.002666714738261
ENSG00000111266	0.002666714738261
ENSG00000171475	0.002415372892013
ENSG00000163872	0.000414425168238
ENSG00000090339	0.001373195505846
ENSG00000076356	0.004448723199644
ENSG00000142156	0.001321145700831
ENSG00000166012	0.000439008714255
ENSG00000159479	2.15E-05
ENSG00000169155	0.000194271571448
ENSG00000163359	0.001427325522826
ENSG00000116191	0.002789629548195
ENSG00000102144	0.000136967933675
ENSG00000130635	0.001767520793986
ENSG00000124209	7.85E-05
ENSG00000021355	0.006455294626657
ENSG00000257365	0.007735126174687
ENSG00000140743	0.000209503078175
ENSG00000198668	0.001417725549536
ENSG00000143933	0.001417725549536
ENSG00000160014	0.001417725549536
ENSG00000114268	0.005966280284896
ENSG00000182923	0.000289777855719
ENSG00000196159	0.006309014944698
ENSG00000147905	0.00188627865348
ENSG00000147027	0.009101392997062
ENSG00000026652	0.000775777986227
ENSG00000103995	0.021090951555025
ENSG00000214274	0.000107790187223
ENSG00000125826	0.000338283182906
ENSG00000137962	0.009809071174026
ENSG00000225553	6.83E-05
ENSG00000239756	6.83E-05
ENSG00000112511	6.83E-05
ENSG00000143590	0.000244687881391
ENSG00000144681	0.008381635768529
ENSG00000166579	2.41E-05
ENSG00000275911	1.51E-05
ENSG00000072864	1.51E-05
ENSG00000136754	5.49E-05
ENSG00000058085	0.000714554149483
ENSG00000166532	0.035110495935717
ENSG00000160201	0.006885269329155
ENSG00000124875	0.000933399891763
ENSG00000134954	5.57E-05
ENSG00000074695	0.000154513432247
ENSG00000163697	6.18E-05
ENSG00000142949	0.000345161905546
ENSG00000156273	0.008203610811227
ENSG00000171606	0.000479299583731
ENSG00000157227	0.000224204188462
ENSG00000103089	0.009689479418571
ENSG00000144747	0.00077362939775
ENSG00000186480	6.29E-05
ENSG00000120910	0.000466631796716
ENSG00000007384	0.000306625722129
ENSG00000100196	2.15E-05
ENSG00000147394	2.07E-05
ENSG00000108590	0.001590254951702
ENSG00000109929	6.93E-05
ENSG00000173706	0.000534413673148
ENSG00000088448	0.000524296493793
ENSG00000137819	0.000371377568421
ENSG00000127526	0.000217682036482
ENSG00000089280	0.00669734367318
ENSG00000172216	0.00107551123275
ENSG00000142552	0.00243449594449
ENSG00000120868	0.010904392321003
ENSG00000138594	0.000306625722129
